date,primary_product_exports,total_exports,soybeans,oil,iron_ore,copper,wheat,corn,usdbrl,neer
7/1/06,4655.37,13637.84,978.04,869.94,1069.62,71.12,1.91,72.43,2.177,100.12
8/1/06,4254.74,13646.47,657.75,725.09,860.18,44.35,2.15,69.82,2.145,99.2
9/1/06,4003.77,12556.05,449.12,970.1,786.79,68.07,0,45.35,2.169,99.14
10/1/06,3715.21,12655.9,379.31,536.18,913.7,78.33,0,43.81,2.1418,97.72
11/1/06,3413.39,11874.49,235.97,511.48,793.8,69.8,0,53.63,2.1649,98.62
12/1/06,3192.79,12250.21,116.68,745.33,711.09,46.14,0,38.89,2.1364,99.29
1/1/07,3194.49,10966.85,138.46,708.4,866.13,28.91,0,62.28,2.1229,97.85
2/1/07,2904.83,10107.26,206.56,484.41,718.15,38.89,0,51.82,2.1205,95.85
3/1/07,3731.71,12858.87,561.78,542.6,827.54,69.25,0,50.33,2.0594,96.14
4/1/07,4178.45,12433,844.9,695.03,767.61,112.43,0.05,95.31,2.0345,94.59
5/1/07,4374.21,13627.57,825.73,570.39,891.56,58.23,0.09,108.58,1.9246,92.5
6/1/07,3995.43,13087.98,817.43,488.47,735.94,74.61,0.05,130.48,1.929,90.12
7/1/07,4877.46,14086.69,859.56,702.27,1089.29,141.04,0.01,170.04,1.8825,88.84
8/1/07,5125.72,15093.71,763.42,874.9,995.3,73.79,0,227.15,1.9619,92.25
9/1/07,4444.01,13593.24,543.68,728.28,890.85,44.81,0,244.79,1.8336,89.92
10/1/07,5616.78,15744.76,664.19,1008.66,992.18,177.51,7.17,331.26,1.736,86.17
11/1/07,4275.04,14001.35,267.53,755.65,858.18,54.25,0.06,243.73,1.7924,86.19
12/1/07,4877.49,14215.1,190.49,1346.02,925.19,158.57,21.72,166.36,1.78,86.66
1/1/08,3992.54,13234.23,250.72,615.87,962.21,65.85,30.26,85.7,1.7592,86.19
2/1/08,3791.71,12763.89,186.18,607.04,921.42,49.74,82.17,66.67,1.6907,85.36
3/1/08,3664.27,12565.66,561.76,367.86,533.89,40.71,33.52,127.92,1.7519,86.32
4/1/08,4610.41,14038.69,1397.62,147.27,682.21,116.77,39.33,109.88,1.6629,85.97
5/1/08,8358.91,19244.06,1860.28,1939.75,1517.85,144.92,18.69,157.51,1.627,84.12
6/1/08,7585.84,18572.7,1506.03,1799.81,1626.07,56.09,0.04,80.84,1.6037,82.11
7/1/08,8317.79,20401.42,1901.28,1345.17,1975.87,200.96,0.02,88.97,1.5654,81.06
8/1/08,8183.19,19678.94,1219.81,1950.32,1908.53,218.64,0,74.94,1.6315,80.55
9/1/08,7426.65,19091.21,900.39,1107.03,2137.91,58.1,0,65.81,1.9046,87.61
10/1/08,7180.11,18423.68,524.6,1383.66,1916.84,108.63,0,78.65,2.159,100.24
11/1/08,5174.6,14057.92,311.2,1125.02,1372.28,9.86,0,148.01,2.3063,100.66
12/1/08,4741.62,13692.23,332.31,1166.8,983.49,126.08,0.06,237.06,2.3145,107.19
1/1/09,3558.54,9663.35,252.96,324.55,1029.2,37.19,5.76,228.37,2.323,101.33
2/1/09,3489.18,9491.9,264.42,504.2,993.87,7.13,11.3,122.43,2.3866,99.54
3/1/09,4601.16,11607.79,973.43,284.75,1318.97,42.7,19.43,71.65,2.3228,97.4
4/1/09,5594.07,12221.83,1541.99,462.35,1401.43,58.51,9.08,54.56,2.1904,95.38
5/1/09,5369.69,11921.11,1723.76,602.79,803.34,10.7,2.82,46.54,1.9702,89.91
6/1/09,6775.87,14344.9,2576.88,516.08,1010.77,98.33,8.82,25.23,1.9518,87.38
7/1/09,6398.49,14050.67,1467.99,1278.7,1181.08,62.86,0.01,27.91,1.8651,86.38
8/1/09,6089.5,13792.13,1306.23,1301.96,1040.74,64.89,0.07,61.58,1.8804,82.86
9/1/09,5502.41,13801.85,817.74,765,1252.95,70.31,5.43,113.36,1.767,82.13
10/1/09,5454,14015.8,315.67,1169.96,1137.28,110.91,0,121.98,1.7612,79.15
11/1/09,4394.39,12498.22,84.13,1018.09,971.61,31.28,0.02,171.47,1.7557,79.27
12/1/09,4730.14,14382.12,99.04,923.87,1098.52,208.2,0,213.72,1.7445,79.87
1/1/10,4072.56,11153.01,45.34,1014.45,962.09,77.05,31.76,157,1.895,79.59
2/1/10,4752.1,12066.64,265.51,1190.36,1165.06,110.31,27.81,102.19,1.8076,81.53
3/1/10,6635.51,15637.89,1164.9,1524.45,1429.28,46.24,58.55,58.66,1.7813,78.75
4/1/10,7015.89,15074.16,1797.29,1305.54,1439.59,126.03,48.63,35.34,1.7394,77.18
5/1/10,8569.99,17632.18,2089.59,1743.69,2190.13,26.62,11.49,17.41,1.8209,77.66
6/1/10,7625.83,17012.42,1488.41,1151.46,2324.56,159.31,0.03,0.14,1.8047,76.4
7/1/10,7952.98,17555.47,1495.98,711.76,2839.88,76.98,0,47.43,1.7549,76.44
8/1/10,9168.74,19085,1155.82,1344.99,3564.14,132.66,0.33,210.39,1.7559,76.82
9/1/10,8904.42,18726.31,824.13,1299.15,3308.73,95.1,0,363.06,1.7079,75.57
10/1/10,8206.69,18136.57,430.53,716.65,3435,127.04,0,322.65,1.7019,75.18
11/1/10,7430.88,17558.6,139.53,1333.05,2703.61,145.45,17.02,395.15,1.7129,75.74
12/1/10,9598.52,20795.9,145.96,2815.51,3505.67,114.95,30.95,427.41,1.6613,73.74
1/1/11,6683.22,15031.61,107.13,1188.4,2538.73,113.61,113.7,235.51,1.6736,73.19
2/1/11,7359.39,16621.03,111.01,1677.64,2734.51,59.85,129.7,299.15,1.6632,74.67
3/1/11,8758.76,19172.56,1383.49,1143.71,2885.06,116.21,228.16,102.29,1.6325,74.77
4/1/11,10306.85,20083,2417.29,1536.03,3129.3,196.34,113.51,29.51,1.5743,72.21
5/1/11,12099.15,23057.4,2558.51,2681.82,3607.07,56.24,74.06,10.59,1.5805,73.42
6/1/11,10946.48,22518.37,2232,1776.45,3486.53,122.06,38.94,3.37,1.5635,72.38
7/1/11,10675.66,22193.04,1841.15,2023.01,3741.5,178.07,0,78.91,1.5497,71.76
8/1/11,12761.69,26076.7,1898.96,2396.57,4469.09,145.66,0,449.85,1.5896,73.43
9/1/11,11351.68,23191.37,1458.15,1379.26,4083.71,87.33,0,500.55,1.8792,78.12
10/1/11,10921.98,22056.07,739.96,1750.55,3798.36,220.48,0,442.23,1.7173,78.22
11/1/11,10056.9,21666.08,878.2,1522.51,3670.8,112.54,0.02,258.09,1.8085,78.06
12/1/11,10492.45,21999.06,696.24,2527.36,3672.56,164.4,0.31,213.4,1.8663,79.39
1/1/12,6939.92,15949.18,461.79,1553.98,1834.6,114.52,58.28,221.45,1.7471,76.75
2/1/12,7434.52,17926.5,715.52,1665.7,2187.26,132.5,101.17,72.18,1.7177,75.45
3/1/12,10137.2,20739.37,2062.71,2115.64,2775.67,89.05,123.44,73.03,1.8263,79
