date,post_2008,primary_product_exports,total_exports,soybeans,oil,iron_ore,copper,wheat,corn,usdbrl,neer,primary_product_exports_z_12,total_exports_z_12,soybeans_z_12,oil_z_12,iron_ore_z_12,wheat_z_12,corn_z_12,usdbrl_z_12,neer_z_12,primary_product_exports_z_3,total_exports_z_3,soybeans_z_3,oil_z_3,iron_ore_z_3,wheat_z_3,corn_z_3,usdbrl_z_3,neer_z_3
6/1/02,0,977.68,4064.86,217.59,53.59,60.82,0,0.01,4.45,2.8175,124.7,-0.854278237,-0.855643607,0.272279496,-0.433106233,-2.777647935,-0.226041789,-1.731644662,2.058491098,0.427721551,-1.376615743,-1.330946064,-0.699601035,-1.36102361,-1.309748356,-0.649063016073031,-1.4132,1.336494267,1.305074549
7/1/02,0,2069.14,6202.18,475.95,318.46,412.53,0,0,1.17,3.46,136.62,2.508197956,2.283564279,1.865785491,2.94845266,2.406375758,-0.419791894,-1.538112592,2.86641094,1.350755903,1.380223694,1.396689316,1.41421158,1.337179192,1.320140364,-0.763603548321213,-1.0138,1.342253571,1.226632906
8/1/02,0,1721.39,5738.52,336.59,166.75,390.04,0,0,4.59,3.006,142.67,1.383313684,1.608520763,1.099366503,0.850564141,1.697167274,-0.419791894,-1.192774737,1.180197054,1.584256019,0.289917675,0.439368484,-0.064277329,-0.118418105,0.636003205,-0.707106781186547,0.7509,-0.328189586,1.072481962
9/1/02,0,2371.52,6478.83,768.88,165.04,315.5,0,0,37.65,3.7395,152.25,2.240324104,1.978579161,2.55315307,0.694962407,0.743083322,-0.401609664,0.415536573,2.284571249,1.923428962,1.195285041,1.109875325,1.341841256,-0.718961149,-1.379114449,,1.4091,1.117133974,1.305891964
10/1/02,0,1913.55,6456.47,353.35,238.46,262.32,0,0.02,34.13,3.63,171.03,1.098858542,1.589633545,0.524198316,1.351766877,0.170743744,0,0.3273407,1.628625049,2.277986474,-0.324900848,0.674342074,-0.664782216,1.413919155,-1.151115513,1.41421356237309,0.5851,0.530838923,1.333985357
11/1/02,0,1357.12,5102.63,99.04,116.56,261.07,0,0,34.73,3.653,158.26,-0.073450641,0.166946247,-0.696790973,-0.220684077,0.110707363,-0.386093671,0.556143781,1.373237618,1.357436604,-1.262389763,-1.414071282,-1.115764892,-1.133340451,-0.731600023,-0.707106781186547,-0.5030,-0.448995969,-0.287755622
12/1/02,0,1271.51,5211.04,121.2,175.2,234.38,0,0,8.48,3.54,158.7,-0.297211392,0.205916733,-0.639304907,0.442540227,-0.222295705,-0.386093671,-0.880799839,0.991946342,1.156460788,-0.852141035,-0.617023125,-0.608581632,-0.030937748,-1.413104253,-0.707106781186547,-1.4139,-1.387744281,-0.669611706
1/1/03,0,1211.2,4780.28,50.68,122.67,297.85,0,0,11.34,3.4975,149.36,-0.510504469,-0.328835053,-1.00313339,-0.346295796,0.419044913,-0.386093671,-0.580401905,0.771313907,0.616450597,-1.148223136,-1.372205283,-1.345807197,-0.587859557,1.284247246,,-0.5820,-1.005769631,-1.412980759
2/1/03,0,1271.13,4981.7,40.66,273.68,263.12,0,0,5.14,3.5685,160.19,-0.499835658,-0.259617311,-1.076409356,1.475208023,-0.032954453,-0.386093671,-0.870522669,0.759384686,0.940721168,0.700392182,-0.052884761,-0.842276039,1.328621655,-0.076942973,,-1.2551,1.136901581,0.856827941
3/1/03,0,1496.85,5209.86,267.83,252.93,271.92,0,0,22.8,3.3525,152.85,-0.048493168,-0.081688889,-0.009791329,1.005235897,0.036617492,-0.351921178,0.551162636,0.202283368,0.471685408,1.385948476,1.249350497,1.413135973,0.546170951,-0.387324887,,1.3269,-1.338672355,-0.284332608
4/1/03,0,1785.2,5681.71,589.98,104.75,287.11,0,0.02,18.42,2.9105,138.14,0.575313315,0.43395716,1.371780775,-0.969685672,0.192890902,0,0.167982759,-1.050193596,-0.531849933,1.271341241,1.340066585,1.288926536,-1.40521728,1.317992497,1.41421356237309,0.3951,-1.338893231,-1.336539773
5/1/03,0,2026.18,6363.12,689.87,112.24,290.71,0,0.04,39.53,2.9675,133.03,0.997763113,1.153944629,1.486534755,-0.820010529,0.141821518,2.635375776,1.49813517,-1.204137491,-1.181868423,1.186627728,1.291838346,0.966079291,-0.651447261,0.916545793,1.22474487139159,1.3866,-0.556942689,-0.989060996
6/1/03,0,1833.39,5851.3,528.49,122.83,217.32,0,0.04,26.77,2.844,130.28,0.390382261,0.308266606,0.695459662,-0.83428792,-1.34977287,1.963961012,0.472438715,-1.623796308,-1.526652622,-0.462944352,-0.39385202,-1.117110768,1.288445506,-1.412874412,0.707106781186548,-0.1693,-1.25491161,-1.085970087
7/1/03,0,1694.03,6087.5,407.96,153.02,242.61,0,0,26.38,2.966,129.2,0.092318504,0.739543302,0.222583726,-0.250369947,-0.818358993,-0.654653671,0.317280861,-1.047605276,-1.471014345,-1.154106974,-0.062823885,-1.161530155,1.369222093,-0.249781832,-1.41421356237309,-0.7388,0.69410669,-1.015065296
8/1/03,0,1929.38,6386.78,539.94,113.01,220.57,0,0,33.72,2.976,132.84,0.719349284,1.100564125,0.686887118,-0.856181896,-1.456932697,-0.654653671,0.77840201,-1.001691974,-1.070480578,1.143062124,1.269903173,0.800831357,-0.975621656,-0.557513211,-0.707106781186547,1.4126,0.788791513,1.353931263
9/1/03,0,2281.23,7255.16,469.8,216.36,393.25,0,0,63.65,2.9,129.62,1.832567177,2.052129495,0.567435291,0.829515731,2.74524746,-0.654653671,2.387545893,-1.055939862,-1.109890951,1.297258235,1.37049372,-0.051314282,1.305858082,1.404457999,,1.3896,-1.403809182,-0.574011578
10/1/03,0,2387.89,7532.65,485.05,205.56,491.41,0,0,48.76,2.8675,129.03,1.765292024,1.9509905,0.578156004,0.726929413,2.673037421,-0.5488213,1.249217839,-0.987534397,-1.028510576,0.961643361,0.972057548,-0.438685264,0.587485761,1.098642195,,0.0041,-1.03373712,-0.875934587
