date,corn_kg,soybeans_kg,sugar_kg,iron_kg,oil_kg,coffee_kg,total_primary_exports,soybean_price,oil_price,iron_price,wheat_price,corn_price,coffee_price,sugar_price
4/1/12,103640067,4430830149,548600912,25546141025,2836495014,105526914,33571234081,529.42,113.76,147.6473684,228.09,274.22,164.5531429,22.477
5/1/12,165732119,7275064364,1729670859,26802382322,2308957392,108998729,38390805785,520.93,104.34,136.2727273,228.88,268.88,161.1819565,20.26545455
6/1/12,134903497,4841213912,1659228658,25885968132,1498182145,101242772,34120739116,522.33,90.91,134.6210526,241.97,267.33,149.7895238,20.09809524
7/1/12,1704885921,4129619684,2489986752,27250841015,2098104192,109566414,37783003978,609.45,96.95,127.9363636,310.75,333,165.4308182,22.75714286
8/1/12,2760703415,2430615779,2456358838,27532467314,3595967601,137075958,38913188905,622.91,105.62,107.7954545,315.55,332.23,154.3333043,20.56130435
9/1/12,3147006634,1681215994,2641147404,27670185608,2210901397,118300652,37468757689,615.18,106.4,99.47,316.65,320.71,156.7689,20.20631579
10/1/12,3662501695,906884061,3933333965,32646692868,1153659967,160312561,42463385117,565.53,103.27,113.9478261,318.41,321.38,152.6622609,20.38869565
11/1/12,3915677497,258967125,2863672814,32569613125,2207135190,150340440,41965406191,533.03,101.25,120.3454545,319.46,321.6,141.236,19.31333333
12/1/12,2794453314,135027957,2453961242,32256695311,3301446671,157466650,41099051145,534.79,101.41,128.8736842,303.04,308.75,135.8749048,19.202
1/1/13,3372046028,284016,2296759375,24656284205,735648043,141137187,31202158854,526.05,105.15,150.4909091,288.21,303.36,139.7948261,18.84571429
2/1/13,2294784202,959633412,1778025725,20673204541,1543508083,113948427,27363104390,536.38,107.64,154.6388889,271.68,302.61,135.83105,18.20789474
3/1/13,1609449582,3536307549,1940407080,22574530677,1836545989,137938194,31635179071,536.08,102.83,139.87,263.34,309.58,136.6869524,18.339
4/1/13,608751184,7154619294,1684813710,23346973743,1018569293,147667746,33961394970,517.79,98.84,137.3909091,264.17,279.76,135.3523182,17.66227273
5/1/13,275865079,7951538971,1896621159,27174647684,1746772193,137992262,39183437348,542.2,99.42,124.0095238,276.05,295.37,132.7828261,17.42636364
6/1/13,276675842,6497603130,2204803121,26106699871,1161944765,125212120,36372938849,560.16,99.84,114.815,266.85,297.11,124.0173,16.956
7/1/13,733398106,5658283460,2297324173,29694849186,1161765391,115487378,39661107694,548.35,105.34,127.1913043,257.47,279.01,125.4332609,17.09636364
8/1/13,3050474219,5375800184,3297855419,31162649801,1688605633,144013316,44719398572,498.05,108.19,137.055,258.93,234.94,122.8111364,17.24409091
9/1/13,3450099591,3469039242,2524660422,29016246022,2310076682,147713149,40917835108,503.24,108.81,134.1857143,257.5,207.49,118.93,17.619
10/1/13,3953620096,1503687439,2623981457,32515221808,1480579012,174865520,42251955332,472.83,105.68,132.5727273,278.15,201.78,115.197913,18.8126087
11/1/13,3913142362,647862778,2265098364,30909383794,2411899160,162594327,40309980785,476.66,102.69,136.3238095,259.78,199.18,109.3245238,17.7485
12/1/13,3085744804,41444366,2343412614,31808014566,2758575973,151604449,40188796772,488.67,105.63,135.7904762,246.11,197.55,114.3302727,16.5447619
1/1/14,2926795071,30606315,2137793664,24704675653,1704627988,152790655,31657289346,476.1,102.22,128.1190476,229.98,198.77,119.0693913,15.70761905
2/1/14,1063516916,2789649517,1800582607,22628901361,1318576747,156289072,29757516220,496.8,104.93,121.37,242.8,209.36,150.3203,16.88526316
3/1/14,579105681,6229304627,1553013086,24467526775,1516779187,153479140,34499208496,522,104.26,111.8333333,275.61,222.39,181.471381,17.88809524
4/1/14,566381036,8250900628,1291901168,24702320349,1627635903,171843532,36610982616,547.19,105,114.5809524,276.38,222.43,188.1174091,18.2147619
5/1/14,127569257,7609782500,1465474455,30685560299,2247841968,161645176,42297873655,546.03,105.79,100.56,287.91,216.98,180.8374091,18.24047619
6/1/14,88117195,6893161834,1855424080,29551460953,2178902238,157527013,40724593313,528,108.55,92.85238095,261.65,202.63,168.1970952,18.24190476
7/1/14,592152803,6043522618,2488097012,31184621051,3914433420,166300406,44389127310,463.23,105.46,96.26086957,238.55,182.29,168.3626087,18.73045455
8/1/14,2458034024,4119263327,2306172275,28261079808,2319987531,161522444,39626059409,432.99,100.11,94.14285714,229.16,176.48,179.1519524,17.7247619
9/1/14,2685562370,2669832551,2209433635,33076568610,2156141792,165961995,42963500953,368.85,95.83,84.52272727,211.17,163.13,177.5252727,16.54428571
10/1/14,3179548519,740838518,2735204360,31772928427,2243467209,185862057,40857849090,354.44,86.12,81.30434783,210.72,163.38,189.1095652,16.47565217
11/1/14,2980198697,176556463,2033783865,25955650370,2631138410,171949000,33949276805,379.34,77.02,74.425,215.99,178.71,177.48075,15.87894737
12/1/14,3407622107,138580630,2249202572,37393550343,3198591682,182693449,46570240783,378.78,60.62,68.67391304,234.86,178.71,164.8562174,14.99227273
1/1/15,3196990254,85335618,2362166458,23302216398,3353885474,163531275,32464125477,367.49,47.66,69.06818182,213.02,174.79,162.1039545,15.0625
2/1/15,1105412424,868658891,1044547848,25259659341,2484825038,150950897,30914054439,364.74,55.01,63.8,201.74,173.76,154.73055,14.51210526
3/1/15,676558721,5592087419,2202366583,30783268904,2686134109,171821385,42112237121,359.6,52.87,58.18181818,202.69,174.29,140.1634091,12.84090909
4/1/15,163739018,6550976888,886218542,28735340631,3474003742,168994170,39979272991,356.93,57.55,52.11363636,195.93,172.15,142.4106818,12.91095238
5/1/15,39539336,9341009332,1834318362,27690767526,3353980730,157947523,42417562809,351.95,62.59,60.42857143,193.22,166.35,137.2051429,12.7035
6/1/15,137875464,9810092292,1999697113,32028566445,3966821628,143183269,48086236211,354.82,61.42,61.84090909,199.84,166.81,138.902,12.11363636
7/1/15,1281412799,8440388069,2351345094,34007331255,2811725722,150133217,49042336156,372.35,54.67,52.17391304,199.22,179.61,134.2488261,11.87863636
8/1/15,2285178862,5161857082,1811442463,27124069563,3623854440,160292406,40166694816,347.02,46.14,57.33333333,173.52,162.74,135.5793333,10.6747619
9/1/15,3456093591,3705390780,1763712551,35605682241,2904431083,175268861,47610579107,323.55,46.24,56.97727273,164.07,166.08,126.7512727,12.13714286
10/1/15,5549402794,2594061477,2558327856,33009398960,3554320115,198614077,47464125279,327.42,47.01,53.65909091,165.45,171.45,132.1090455,14.14181818
11/1/15,4759554751,1442940426,2354919926,28000358520,2479764713,187048495,39224586831,319.08,43.09,47.19047619,157.8,166.09,128.1072857,14.843
12/1/15,6272121057,731439903,2842662713,39507790041,3723125265,178736390,53255875369,323.32,36.69,40.8826087,163.89,164,127.8109565,14.76272727
1/1/16,4442503501,394431597,1496284398,25037249433,3923444026,149220611,35443133566,323.2,30.43,42.2047619,164.61,161.1,124.2820476,14.29105263
2/1/16,5374941589,2036818373,2703821653,29946437884,3204850275,160235194,43427104968,320.13,31.27,46.48571429,159.28,159.72,125.6004286,13.314
3/1/16,2027703277,8374549242,2078427841,30317605026,3023981248,166628182,45988894816,326.94,37.71,56.53913043,164.06,159.23,133.0456522,15.43045455
4/1/16,370534135,1.01E+10,1528125299,28987405350,3528652719,134095360,44648812863,353.8,41.23,60.96666667,163.39,164.47,132.0054762,14.99809524
5/1/16,28093024,9915098848,2011827170,34005707371,2348907901,130159187,48439793501,388.51,46.31,55.88636364,157.56,169,133.8161364,16.68428571
6/1/16,20195084,7761036427,2685969011,29018724903,3710460949,124082720,43320469094,421.23,48.33,52.34090909,156.7,179.91,141.5987273,19.33727273
7/1/16,1046251275,5787202701,2911140241,30251463830,3266298543,104392354,43366748944,390.4,44.65,57.30952381,133.71,161.82,147.479381,19.687
8/1/16,2565913483,3816070571,2964929809,34502464420,4001467112,157659136,48008504531,370.32,45.26,60.86956522,127.9,150.22,144.8148696,20.01434783
9/1/16,2915544385,1443401661,3188996296,35328283409,4118492514,165489648,47160207913,355.9,45.42,57.65909091,123.25,148.51,152.4716364,21.35238095
10/1/16,1103423068,998191535,2181408199,30011709460,3985751327,178658786,38459142375,358.39,50.01,58.95238095,122.56,152.62,156.3626667,22.91666667
11/1/16,966628625,316094305,2583759949,31439488380,3884245438,180161201,39370377898,368.37,45.48,74.13636364,122.55,151.33,159.9965455,20.86857143
12/1/16,1011578293,653098393,2596273773,35116428780,2627085765,175175880,42179640884,375.29,53.07,79.43181818,122.85,152.73,143.803,18.83
1/1/17,1452387406,911826949,2212609153,28915371566,5566043474,147912715,39206151263,379.59,53.95,80.81818182,137.15,160.01,150.5249091,20.5375
2/1/17,487996558,3509447272,1823966952,25731764770,6225832529,138644195,37917652276,380.87,54.61,88.95,147.36,162.96,148.3927,20.40578947
3/1/17,243406989,8979127442,1596733171,36395469549,4003031962,149586372,51367355485,366.1,51.01,87.19565217,146.43,158.98,144.1256087,18.05956522
4/1/17,155351623,1.04E+10,1622183443,24048570939,3164258286,115852839,39506217130,347.86,52.57,70.4,138.41,156.54,140.02995,16.31684211
5/1/17,310621096,1.10E+10,2439535437,35111854770,3530082398,137935346,52530029047,350.18,50.02,61.63043478,146.44,158.6,134.5077391,15.68909091
6/1/17,564947093,9197020800,3088417562,33789202350,6194667274,114470086,52948725165,339.73,46.4,57.86363636,157.25,157.97,130.8346364,13.53
7/1/17,2323915589,6954980437,2662267331,31308784448,5382273004,96111236,48728332045,365.45,47.88,66.73809524,174.53,157.61,136.3434286,14.119
8/1/17,5258092719,5952411306,2764953955,34125980320,4576543152,142668873,52820650325,345.41,50.08,74.58695652,139.05,148.54,136.2691304,13.79608696
9/1/17,5915927021,4272462928,3501557707,31934166580,3966399037,130764327,49721277600,353.86,53.07,69.23809524,138.41,147.32,132.347619,13.931
10/1/17,5030288904,2486938126,2881013014,35257673843,3799900131,158751688,49614565706,358.28,54.96,61.04545455,133.34,148.72,128.0140909,14.23181818
11/1/17,3524015487,2142729378,2203531841,34151971310,2527040617,161893868,44711182501,361.41,60.05,63.40909091,138.05,148.79,126.0311818,14.96666667
12/1/17,3998961580,2355636571,1905004478,32766361750,3029364044,155001377,44210329800,357.15,61.12,71.73809524,147.1,149.09,122.3837619,14.4325
1/1/18,3022979341,1563589036,1566322285,30439951470,5497309153,157211022,42247362307,356.87,66.17,75.7826087,156.39,155.92,123.7954783,13.97952381
2/1/18,1255567326,2864252723,1433731067,23785102884,3635915500,136382448,33110951948,371.23,63.52,77.65,172.29,163.46,122.1592,13.57263158
3/1/18,605654576,8813759773,1767279354,29952911315,4144780371,136293961,45420679350,381.89,64.55,71.31818182,180.92,172.08,120.8996364,12.82571429
4/1/18,115685594,1.03E+10,1021858095,25877986947,4572724563,117118484,42005373683,381.27,68.97,66.33333333,180.38,175.6,120.529381,11.82428571
5/1/18,57370698,1.24E+10,2095451402,34618108025,3783303462,84921361,53039154948,374.85,73.64,66.63043478,192.7,179.18,121.5485652,11.82727273
6/1/18,144690934,1.04E+10,1927063178,35291250731,2694913312,129563328,50587481483,339.96,72.33,66.85714286,193.08,165.14,119.6445238,12.06190476
7/1/18,1171244420,1.02E+10,1869406600,35956025799,8098498030,74738421,57369913270,312.56,73.02,67.04545455,196.81,156.55,116.7443636,11.1552381
8/1/18,2826581480,8118328742,1697285106,35621273316,4227387654,135665465,52626521763,316.66,71.46,68.02173913,211.29,162.52,111.8694783,10.45521739
9/1/18,3361646481,4560701117,2522999734,33903927530,5534963236,179840378,50064078476,306.43,75.43,68.8,191.14,154.95,107.836,10.78368421
10/1/18,3109789115,5218429181,1912506913,37191204081,6753671319,196827338,54382427947,315.85,76.77,72.02173913,188.46,160.37,121.7346957,13.18478261
11/1/18,3649655023,4817422851,1857814943,33966533220,4404530579,234076345,48930032961,322.28,62.37,72.29545455,181.55,160.88,121.0300455,12.79238095
12/1/18,3643573985,4070947944,1588469435,33196349271,4221890900,246239183,46967470718,330.48,54.18,68.9047619,188.54,167.49,112.2027143,12.5535
1/1/19,3835143835,2034104088,1070192903,33135773307,4912152593,182199157,45169565883,333.78,56.78,75.2,188.84,166.85,113.3104348,12.68095238
2/1/19,1598510115,5267177989,1164530165,28924989073,3819406673,185824746,40960438761,334.5,61.31,87.59,177.92,169.66,113.51385,12.92894737
3/1/19,827461107,8458687005,1005052410,22182535369,4488979775,192632872,37155348538,329.24,64.02,87.07142857,164.51,166.32,109.8092857,12.47380952
4/1/19,349382262,9403698000,1219152937,18729772202,6811262754,165944446,36679212601,324.25,68.76,94.5,159.03,161.65,106.6706364,12.53571429
5/1/19,957666935,1.00E+10,1508705739,29874891670,4830834775,197111259,47369210378,305.31,66.6,101.7608696,158.28,171.18,105.7198696,11.825
6/1/19,1195019582,8552659616,1538286555,29657647279,3619017025,169647462,44732277519,326.61,59.6,109.55,174.7,195.17,113.0042,12.4395
7/1/19,5926452952,7443440658,1813230599,34228094723,3767517506,175310749,53354047187,325.47,61.52,119.5869565,163.88,189.49,117.0076522,12.12863636
8/1/19,7321460447,5004319704,1586386157,33818329566,4763533148,189040581,52683069603,314.63,57.65,93.5,149.36,163.63,109.6390909,11.55545455
9/1/19,6442172391,4603720269,1708122080,31940457001,5533147624,187535606,50415154971,322.45,60.05,92.26190476,146.57,157.37,111.4192857,11.158
10/1/19,6023744279,5076260085,1914761553,34136907265,5266953751,199630527,52618257460,339.87,57.49,88.58695652,153.22,167.3,109.526087,12.4573913
11/1/19,4110283413,4947359534,1924883313,29270678729,3728734484,197925405,44179864878,332.96,60.19,82.9047619,157.53,166.36,120.6698571,12.687
12/1/19,4164806207,3269636946,1435733066,25060063998,8539668449,190010799,42659919465,334.95,63.22,90.97727273,165.25,167.06,131.2135,13.3352381
1/1/20,2087889631,1397048451,1597808466,26760403681,4221906804,163529898,36228586931,337.08,61.58,95.2173913,178.24,171.81,121.2307391,14.16666667
2/1/20,340256004,4833982095,1290366543,21798207911,5881213252,168794805,34312820610,325.43,53.45,87.625,172.23,168.74,115.2703,15.07105263
3/1/20,472669706,1.09E+10,1413514290,21212732881,6381916325,182837692,40563670894,319.34,32.26,88.65909091,170.87,162.18,124.0661364,11.805
4/1/20,6696482,1.49E+10,1511965881,23989669287,6614554463,165310188,47188196301,309.99,23.34,83.75,179.75,147.01,127.4481364,10.05190476
5/1/20,24933230,1.41E+10,2575893212,21576599576,8256987023,215994004,46750407045,309.33,31.27,91.33333333,174.95,143.99,124.3024762,10.641
6/1/20,312210825,1.27E+10,2706722778,30018846265,5448127730,141928527,51327836125,318.64,39.75,103.3409091,169.72,148.04,118.4490455,11.82818182
7/1/20,3979224163,9955019150,3289294951,34101516540,7794507662,168518037,59288080503,328.94,42.18,108.0217391,170.57,152.59,123.0525652,11.90181818
8/1/20,6243786602,5836621583,3136167832,31193457112,5258498082,191583371,51860114582,332.14,43.79,120.0714286,174.18,149.39,135.9415714,12.81428571
9/1/20,6371263440,4260922212,3385565698,37472906603,5025244407,221735480,56737637840,366.82,40.97,123,204.14,166.6,138.4271364,12.44142857
10/1/20,5003812856,2422160779,3949137001,31118953186,4570639521,226940293,47291643636,387.58,40.61,119.25,203.43,186.77,126.9470909,14.28772727
11/1/20,4732624137,1435661760,2900710889,29148348494,5273883777,276805981,43768035038,419.59,42.97,123.5238095,210.75,190.63,127.2230476,14.9335
12/1/20,4856570066,274082590,2878623570,33120248082,5282467249,255090763,46667082320,443.66,49.02,153.0652174,217.31,199.18,132.1506522,14.66772727
1/1/21,2346303536,49498900,1998965510,28926439963,4864085371,222419198,38407712478,504.31,53.91,166.7380952,237.94,231.75,133.8178095,15.91631579
2/1/21,776818882,2645992006,1822109104,23996704049,4944716597,191824462,34378165100,507.82,60.95,162.325,240.81,245.55,138.51175,17.00052632
3/1/21,292013173,1.27E+10,1967882993,28331899363,6425257783,242152677,49959205989,519.88,64.09,166.7391304,229.89,245.76,139.0934783,15.80565217
4/1/21,130876347,1.61E+10,1786528594,25618380916,6472785954,207542007,50316113818,537.42,63.36,178.25,239.94,268.62,140.3935455,16.23761905
5/1/21,13919890,1.50E+10,2480428123,26538322403,5072838532,190664508,49296173456,576.97,66.63,202.8571429,278.45,304.3,154.4291429,17.20333333
6/1/21,92169250,1.11E+10,2738028195,33545936037,8133882300,174913536,55784929318,537.36,72.06,215.8157895,238.77,292.52,159.9233636,17.21409091
7/1/21,1991368991,8669658341,2466132167,31560509628,4208806520,143375822,49039851469,523.57,73.04,214.3409091,243.63,278.45,171.3773636,17.7147619
8/1/21,4335762973,6484176180,2544347307,34683354114,6782173860,172925964,55002740398,504.04,69.06,162.0909091,274.88,257.02,179.9706364,19.38363636
9/1/21,2850171717,4827184528,2542744266,33376343438,5274783801,169985416,49041213166,469.44,73.01,113.71875,269.73,235.82,189.2526364,19.26428571
10/1/21,1797038335,3292942271,2308337453,30770817629,5850041565,189152349,44208329602,452.02,82.22,114.4761905,294.04,239.6,200.3427619,19.61904762
11/1/21,2392521962,2587139385,2659576589,28786375236,3623593277,175394234,40224600683,454.58,79.55,90.13157895,317.44,248.77,214.1150909,19.74619048
12/1/21,3410600369,2711640334,1939800625,31135491108,5911884709,207986161,45317403306,473.81,73.11,110.4565217,324.02,264.57,221.5698261,19.16727273
1/1/22,2732473597,2452064476,1346872617,24894013319,4192439229,178313483,35796176721,514.45,84.12,133.0454545,326.08,276.72,222.6707143,18.461
2/1/22,768396605,6271312694,1720430685,18654057201,6474032605,208502351,34096732141,583.69,92.47,139.7,347.5,292.67,228.7114,18.20315789
3/1/22,14278863,1.22E+10,1437130789,28497813761,5335955941,203237426,47688416780,617.2,109.48,147.3478261,387.67,335.93,212.4728696,19.10782609
4/1/22,690295815,1.15E+10,1314171234,24728715331,4446937999,166102479,42846222858,618.14,103.63,146.6666667,406.03,348.51,216.9663333,19.69904762
5/1/22,1088472077,1.06E+10,1564381269,25431266134,4432755982,142704327,43259579789,617.12,109.9,131.0909091,444.16,344.91,213.2611818,19.28090909
6/1/22,989299519,9989845624,2335557267,32024469653,5672749458,181206315,51193127836,621.2,114.74,131.0454545,397.65,335.72,222.7881818,18.79409091
7/1/22,4119091237,7506214376,2860322111,31816601925,4766829602,147110497,51216169748,571,102.5,109.047619,321.98,312.68,209.2679524,18.34
8/1/22,7446091295,5945237934,2953061704,33303585476,5831058887,140145482,55619180778,576.82,95.68,109.0652174,323.02,293.93,220.8451739,18.0626087
9/1/22,6421875990,4002411514,3013495497,36121701204,5724398055,168921088,55452803348,537.55,88.25,100.8409091,346.32,312.55,220.6520455,18.18590909
10/1/22,6785069497,3798232422,3160579457,26685041962,5287793930,200100342,45916817610,507.54,90.74,94.61904762,353.71,343.55,198.9612381,18.30095238
